Hsig (m),Tp (s),Tm (s),Dp (deg),DpSpr (deg),Dm (deg),DmSpr (deg),QF_waves,WindSpeed (m/s),WindDirec (deg),,
0.13,11.36,7.84,346.35,75.106,4.3,75.562,1,Nan,Nan,,
Nan,Nan,Nan,Nan,Nan,Nan,Nan,1,4.4,342,,
0.87,9.3,6.12,212.403,53.3,202.4,74.419,1,1.6,34,,
1.02,9.3,7.36,215.892,37.102,217.251,60.589,1,0.8,97,,
0.97,9.3,7.74,222.43,38.794,220.65,64.128,1,0.4,0,,
0.95,10.24,7.74,220.908,29.016,222.14,43.89,1,0,314,,
1.13,11.36,8.66,226.579,33.635,225,56.07,1,1.2,85,,
0.97,11.36,8.74,232.767,26.252,226.104,37.175,1,1.2,137,,
0.98,11.36,8.5,230.283,27.389,225.199,36.573,1,1.2,114,,
1,10.24,8.78,230.733,28.212,226.036,35.998,1,1.2,114,,
0.97,11.36,8.86,232.583,25.505,225.733,35.24,1,0.8,114,,
1.08,11.36,9.18,230.794,26.013,225.427,32.982,1,0.8,114,,
0.86,10.24,8.36,234.665,29.357,226.567,37.708,1,1.2,120,,
1.04,10.24,8.98,231.898,24.403,228.048,33.211,1,1.2,114,,
0.88,10.24,8.58,231.628,28.038,224.549,37.125,1,0.8,228,,
0.98,11.36,8.9,233.117,27.356,225.384,33.865,1,1.2,125,,
0.91,11.36,8.7,232.455,28.181,226.131,35.743,1,1.2,91,,
0.95,11.36,9.02,235.155,28.734,228.966,36.276,1,0.8,108,,
0.99,11.36,8.88,231.08,24.693,227.283,34.797,1,0.8,125,,
0.96,10.24,7.7,233.439,29.061,227.751,40.615,1,5.2,285,,
1,11.36,7.66,229.406,26.772,228.343,37.798,1,4.8,308,,
0.99,11.36,7.74,223.598,31.624,227.92,39.701,1,4.4,262,,
1.04,11.36,7.68,234.081,29.049,230.448,39.324,1,4,262,,
1.06,11.36,7.74,223.705,27.232,227.494,39.494,1,4.4,262,,
1.15,11.36,8,222.503,22.892,225.845,36.503,1,3.6,268,,
